review_id,canonical_place_id,place_name,place_category,reviewer_rating,review_text_raw,weak_sentiment_label,manual_sentiment_label,annotation_confidence,annotation_notes,annotator_id,human_approved
resto-hotel-v2_004088,place_00329,Kedai Bakmi Bahagia Sukaria,hotel_resto,2.0,Makanannya enak sih tapi harganya mahal sekali Layanannya kurang memuaskan Suasana nya indah dan bersih,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_004136,place_00235,Rumah Makan Martabe,restoran,1.0,Rasa masakan tidak sesuai ekspetasi citra rasa sebenarnya,negative,negative,medium,,A01,yes
resto-hotel-v2_004887,place_00078,Damasus Nataboan Resto,restoran,2.0,Pisang gorengnya masih mengkal dan asem. Harga makanannya lumayan but untuk cita rasa B aja benar2 gak sesuai ekspektasi.. bisa di tingkatkan lagi untuk cita rasanya...,negative,negative,high,,A01,yes
resto-hotel-v2_004889,place_00078,Damasus Nataboan Resto,restoran,1.0,ikan g mateng,negative,negative,high,,A01,yes
resto-hotel-v2_004896,place_00078,Damasus Nataboan Resto,restoran,1.0,Overhyped restaurant that takes forever to serve orders. The menu are so so with small portions. The Crawfish on the menu is mistaken for baby lobsters.,negative,negative,medium,,A01,yes
resto-hotel-v2_004927,place_00078,Damasus Nataboan Resto,restoran,1.0,"Keren untuk view, makanan termasuk overprice kak Hati2 ada scam orng kasih makanan tiba2 ditagih mahal",negative,negative,high,,A01,yes
resto-hotel-v2_005110,place_00023,Alyssa Restaurant Pizza,restoran,1.0,We came here to eat food at 7pm on a Friday and after a lot of local food we wanted to try pizza. After ordering a beer we were told the pizza was out. Also the fish&chips and the sweet and sour fish were out. It appears they only had a few local spicy options. How can you call yourself a pizza place if it does not serve pizza. It also did not help the cats were begging for food on the table we were eating from. We finished our beer and left for a different place. I would avoid this place.,negative,negative,high,,A01,yes
resto-hotel-v2_005113,place_00023,Alyssa Restaurant Pizza,restoran,1.0,I got food poisoning here..,negative,negative,medium,,A01,yes
resto-hotel-v2_005117,place_00023,Alyssa Restaurant Pizza,restoran,1.0,"Not very good food, nice people.",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_005137,place_00023,Alyssa Restaurant Pizza,restoran,1.0,"Don’t go here, they have a monkey on a very short leash in the garden!!",negative,negative,medium,,A01,yes
resto-hotel-v2_005145,place_00023,Alyssa Restaurant Pizza,restoran,2.0,"Selama perjalanan 3 minggu kami, ini adalah salah satu tempat yang paling jarang kami kunjungi untuk makan. Babi pangang bukanlah menu hari raya, melainkan potongan daging babi dengan sepiring nasi putih. Ikannya kering.",negative,negative,medium,,A01,yes
resto-hotel-v2_005151,place_00023,Alyssa Restaurant Pizza,restoran,2.0,"Makanan, layanan, dan suasana rata-rata di antara sebagian besar toko di daerah itu tetapi harganya lebih dari dua kali lipat",negative,negative,medium,,A01,yes
resto-hotel-v2_005152,place_00023,Alyssa Restaurant Pizza,restoran,1.0,Memesan beberapa variasi pizza namun hampir semua rasanya serupa. Capucinno yang manis banget sebaiknya dibuat dengan sachet bukan Expresso. Pasti tidak akan kembali,negative,negative,medium,,A01,yes
resto-hotel-v2_005169,place_00023,Alyssa Restaurant Pizza,restoran,1.0,"Tidak direkomendasikan untuk makan di sini. Sate babi lebih keras daripada mengunyah kulit, pizzanya terbuat dari kardus, saus tomat, sepotong ham, dan dilumuri mozzarella. Makanan termahal dan hambar yang kami makan di Tuktuk. Jangan coba-coba tempat ini.",negative,negative,high,,A01,yes
resto-hotel-v2_005677,place_00265,Solu Bolon Cafe And Resto,restoran,1.0,Rumah Joachim rosario Naibaho,negative,neutral,high,insufficient_context,A01,yes
resto-hotel-v2_005711,place_00265,Solu Bolon Cafe And Resto,restoran,1.0,Pelayanya tidak ramah.. makanan standar.. tempat lumayan nyaman..,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_005775,place_00233,Rumah Makan Lomak,restoran,1.0,biasakan bertanya harga dulu sblm makan disini ya.. bagiku ini kemahalan untuk versi warung.. harga x2 dari hrg warung normalnya.. untuk rasa jg so so aja. daging jg keras.. cukup sekali aja..,negative,negative,high,,A01,yes
resto-hotel-v2_005870,place_00233,Rumah Makan Lomak,restoran,2.0,Mahal dan kurang ramah,negative,negative,high,,A01,yes
resto-hotel-v2_005907,place_00233,Rumah Makan Lomak,restoran,2.0,"Pemilik ramah. Untuk harga agak mahal, tapi kalau boleh porsinya agak ditambah. Beli babi panggang dan babi goreng, pas dikasih kok plastiknya ringan. Setelah cek di hotel, ternyata benar isinya cuman secuil.",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_005915,place_00233,Rumah Makan Lomak,restoran,2.0,"Kami memesan makanan bawa pulang dan dengan harga yang kami bayar, kami tidak mendapatkan banyak. Panggangnya terlalu asin untuk dimakan begitu saja tanpa nasi. Ya tentu saja, beberapa orang sangat suka yang asin jadi mungkin itu subjektif. Namun, bagi saya itu pengalaman satu kali.",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_006459,place_00138,Matahari Restaurant And Homestay,restoran,1.0,"Perubahan manajemen: Masakan Indo. (2022/23) Tidak ada lagi makanan barat 🇮🇹🇩🇪. Jika Anda ingin Piccata🍝 Milanese, Schnitzel, atau Gulasch, juru masaknya pindah ke SMILEYs, dekat dengan ROYs PUB. 😋",negative,negative,high,,A01,yes
resto-hotel-v2_008327,place_00327,Jo 'N Gio Resto Nasional 26 Coffeshop,hotel_resto,1.0,Saus sambalnya cacingan,negative,negative,high,,A01,yes
resto-hotel-v2_008992,place_00298,Warung Bikers Parapat,restoran,1.0,"Hidangannya bikin lidah bergoyang, sajiannya lumayan memuaskan",negative,positive,high,,A01,yes
resto-hotel-v2_009015,place_00298,Warung Bikers Parapat,restoran,2.0,Siiip,negative,positive,high,,A01,yes
resto-hotel-v2_009201,place_00297,Warkop Panorama I Panatapan Parapat,restoran,2.0,Tempatnya bersih adankamar mandii ..makanan cepat saji pemandangan bagus,negative,positive,high,,A01,yes
wisata-v2_002651,place_00320,Arung Jeram Sungai Asahan (Asahan River Rafting),wisata,1.0,Beware!! They scammed. Took the money and never offered any services.,negative,negative,high,,A01,yes
wisata-v2_002723,place_00335,Pakkodian Toba,wisata,2.0,"tempat ini bagus jika dikelola dengan benar, sepertinya Pemkab setempat tidak memperhatikan lokasi ini menjadi wisata, sehingga dikelola oleh masyarakat lokal yang minim modal, sangat disayangkan sekali",negative,positive,high,,A01,yes
wisata-v2_002738,place_00335,Pakkodian Toba,wisata,1.0,"Cocok untuk ngecamp,",negative,positive,medium,,A01,yes
wisata-v2_003024,place_00042,Batu Marhosa,wisata,1.0,"there is nothing here actually, but in general the road and the view points on this road are very nice :)",negative,negative,medium,,A01,yes
wisata-v2_003026,place_00042,Batu Marhosa,wisata,1.0,"Followed Google Maps like a loyal adventurer, hoping to stumble upon the famous Batu Marhosa—the mysterious stone said to whistle when the wind hits just right. The location pinned? Yes, we arrived. The vibe? A little more “Where’s the batu?” than “marhosa!” To be fair, nature was doing its thing—there were signs of recent changes in the area: uprooted trees, shifts in vegetation, and an overall feeling that the landscape had been rearranged by something (weather? time? overzealous goats?). There was a small stream trickling through, sort of a waterfall if you squint, just like a fellow review had described. Peaceful? Yes. Whistling rocks? Not so much. We poked around a bit, hoping to hear the wind sing through a stone, but it didn’t feel like the kind of place you’d want to start ripping off leaves. More like a spot you pause, take a breath, and then quietly ask Google if maybe the pin’s a little off. So is it the real Batu Marhosa site? Could be. Is it worth the detour? Only if you’re already in Pangururan and feeling curious, cautious, and equipped with a local guided guide. Batu Marhosa might not have whistled for us, but the adventure lives on—just a little further up the trail. Note: If you’re feeling brave, stubborn, and have a heart of steel (and a sturdy bike)—you could venture even further up to Danau Aek Natonang. It’s a crater lake that takes some effort and determination to reach, especially on two wheels. Think gravel, slopes, landslides and a workout for your soul. It’d easily earn you a badge of Samosir explorer pride, and a slice of unknown peace but also magically transported into a near no-mans world that only the locals know",negative,negative,medium,,A01,yes
wisata-v2_003123,place_00079,Danau Sidihoni,wisata,1.0,Keren,negative,positive,high,,A01,yes
wisata-v2_003340,place_00368,Sitapigagan Waterfall,wisata,1.0,Akses ke lokasinya nggak bgt👎 Perlu peran serta pemerintah kali ya ...,negative,negative,high,,A01,yes
wisata-v2_003789,place_00321,Bukit Holbung Samosir,wisata,1.0,Mantap lah,negative,positive,high,,A01,yes
wisata-v2_004300,place_00321,Bukit Holbung Samosir,wisata,1.0,"jorok, kurang bersih, kurang dibenahi. kurang RAPI.",negative,negative,high,,A01,yes
wisata-v2_004685,place_00321,Bukit Holbung Samosir,wisata,1.0,Gara gara holbung ribut dengan pasangan,negative,negative,medium,,A01,yes
wisata-v2_004688,place_00321,Bukit Holbung Samosir,wisata,1.0,"Not as expected, touristic.",negative,negative,medium,,A01,yes
wisata-v2_005562,place_00003,Aek Rangat Pangururan,wisata,1.0,Bagus,negative,positive,high,,A01,yes
wisata-v2_005572,place_00003,Aek Rangat Pangururan,wisata,1.0,Ahh tak enjoy,negative,negative,medium,,A01,yes
wisata-v2_005574,place_00003,Aek Rangat Pangururan,wisata,1.0,belum siap menjadi daerah wisata,negative,negative,medium,,A01,yes
wisata-v2_005592,place_00003,Aek Rangat Pangururan,wisata,2.0,Kurang cocok untuk wisata keluarga karena kolamnya terpisah antara laki-laki dan perempuan. Ada 1 lokasi yg menyediakan family pool tapi jam 10 malam uda tutup. Seharusnya bisa lebih lama bukanya karena biasanya orang berendam air hangat lebih suka malam hari.,negative,negative,medium,mixed_sentiment,A01,yes
wisata-v2_005625,place_00003,Aek Rangat Pangururan,wisata,1.0,Keren,negative,positive,high,,A01,yes
wisata-v2_005717,place_00003,Aek Rangat Pangururan,wisata,2.0,Air panasnya memang panas tercium bau belerang... Tapi kolamnya kurang bersih dan kamar ganti kotor mungkin di kelola pribadi ya... Kolam privasi byr 150 ribu... Utk 1 jam tapi di buru2 cepat keluar alasan ada yg booking...,negative,negative,high,,A01,yes
wisata-v2_005743,place_00003,Aek Rangat Pangururan,wisata,2.0,"Msh byk perhatian dari pemerintah dan pengelola,",negative,negative,medium,,A01,yes
wisata-v2_005757,place_00003,Aek Rangat Pangururan,wisata,1.0,Ijin mau masukkan ubi kayu bos,negative,negative,medium,,A01,yes
wisata-v2_005808,place_00003,Aek Rangat Pangururan,wisata,1.0,Tidak banyak pilihan utk kolam nya dan air panas nya di kolam kotor .,negative,negative,high,,A01,yes
wisata-v2_005822,place_00003,Aek Rangat Pangururan,wisata,1.0,Sangat tidak baik... Air mati,negative,negative,medium,mixed_sentiment,A01,yes
wisata-v2_005864,place_00003,Aek Rangat Pangururan,wisata,2.0,Penginapan lengkap,negative,positive,medium,,A01,yes
wisata-v2_007005,place_00172,Patung Sigalegale,wisata,2.0,"This is not the king's tomb. The tomb is a couple handrend meters from here. To find it, follow Google maps and pass through the souvenir stalls.",negative,neutral,high,,A01,yes
wisata-v2_007303,place_00040,Batu Kursi Raja Siallagan ( Stone Chair Of King Siallagan ),wisata,2.0,"It was my second visit to this traditional village and this visit was personally dissappointing. The houses, courtyard and sites in the village core were renovated between 2021–2022; thus changing the heritage ambience, modernizing the visiting experience in an unsubtle way. The modernized surroundings made the experience different; renovation of the traditional houses façade and roof, paved courtyard and a modern version of the visitors theatre, submerged the heritage into a less true experience, rather synthetic one. The most related addition was actually the rest room and souvenir area. Personally my visit was not giving the expected, as compared to my last in 2019.",negative,negative,medium,,A01,yes
wisata-v2_007420,place_00334,Natio,wisata,2.0,"Ok, nice view of the lake, i could get used to that if i owned this or a similar place but what does it have to do with Soekarno other than that he was here? The surroundings are nice and well kept but the house and surrounding garden is inaccessible. The house was used to exile Soekarno. Not only it was used to exile the president, it also provided exile for Sjahrir and H. Agus Alim. They were confined for about 2 months, quite an exile and worthy of this great memorial.",negative,negative,high,,A01,yes
wisata-v2_007508,place_00334,Natio,wisata,1.0,View ya bagus tapi sayang.ada punglinya katanya uang parkir padahal kita nyewa penginapan di dalam.kemudian dibawah penginapan danau Toba mw brenang anak2 juga harus bayar juga Rp 15000. Katnya uang kebersihan peninglah kapokdah kesana....🤦🤦 ...,negative,negative,high,,A01,yes
wisata-v2_007524,place_00334,Natio,wisata,1.0,KEBERSAMAAN dalam melayani Rakyat Desa Batu 12.,negative,negative,medium,,A01,yes
wisata-v2_008042,place_00372,Taman Wisata Iman Sitinjo,wisata,1.0,Semalem k sana dn sudah tidak terawat,negative,negative,medium,,A01,yes
wisata-v2_011975,place_00355,Rumah Bolon Raja Purba,wisata,1.0,This site was abandoned,negative,negative,high,,A01,yes
wisata-v2_012004,place_00259,Museum Simalungun,wisata,1.0,Kami sudah membuat janji tetapi penjaganya ingkar janji,negative,negative,high,,A01,yes
wisata-v2_012005,place_00259,Museum Simalungun,wisata,1.0,Baik,negative,positive,high,,A01,yes
wisata-v2_012023,place_00259,Museum Simalungun,wisata,1.0,Kurang,negative,negative,medium,,A01,yes
wisata-v2_012040,place_00259,Museum Simalungun,wisata,2.0,"You need to climb a steep wooden ladder to the ""museum"". At the entrance a middle-aged woman in yellow polo-shirt said she was a tour guide. Upon asking she told me the ticket counter is upstairs and the ticket price is 5k. ...",negative,neutral,high,,A01,yes
wisata-v2_012095,place_00316,Air Soda Parbubu,wisata,1.0,"Pelayanan kurang bersahabat, tempat kurang bersih dan tidak rapi",negative,negative,medium,mixed_sentiment,A01,yes
wisata-v2_012100,place_00316,Air Soda Parbubu,wisata,1.0,"We came on a public holiday, it was so crowded. The pool and the area around it were so little, hardly there's space to sit down and put your stuff. Those who were waiting end up standing around the small pool. You'd feel like everyone is ...",negative,negative,medium,,A01,yes
wisata-v2_012184,place_00316,Air Soda Parbubu,wisata,2.0,"Tempatnya kurang terawat , tempatnya terasa sempit. Untuk lokasi parkirnya juga terbatas. Hanya bisa parkir di pingir jalan. Untuk airnya terasa biasa saja, hanya saja ada muncul soda di dalam kolamnya. Semoga kedepanya dapat di kelola dengan lebih baik agar banyak turis yang bisa merasakannya.",negative,negative,high,,A01,yes
wisata-v2_012185,place_00316,Air Soda Parbubu,wisata,2.0,Kebersihan tidak terjaga . Dan tempat tidak terawat 😌 ...,negative,negative,medium,,A01,yes
wisata-v2_012208,place_00316,Air Soda Parbubu,wisata,1.0,Pemandian air soda cuma ada 2 didunia emang mantap,negative,positive,high,,A01,yes
wisata-v2_012218,place_00316,Air Soda Parbubu,wisata,2.0,Air sodanya sih Ok tapi tempatnya sangat tdk ok. Toilet kotor sampah dibuang sembarangan akses ke kolam kotor dan licin. Ini harusnya diperbaiki lah mengingat kolam air soda sedunia cuma ada 2.,negative,negative,high,,A01,yes
wisata-v2_012221,place_00316,Air Soda Parbubu,wisata,1.0,"Akses jalan sempit, begitu sampai tempatnya sangat kotor, sampah dimana2, tempat bilas badan juga minim, kamar mandi kotor berlumut, sayang sekali padahal tempat seperti ini hanya ada 2 di dunia tapi tempat ga dirawat. Jauh2 datang dari siantar begitu sampai rada kecewa, 1 out of 10.",negative,negative,high,,A01,yes
resto-hotel-v2_000047,place_00071,Cantik Daijo Cafe,restoran,2.0,Owner kurang ramah,negative,negative,high,,A01,yes
resto-hotel-v2_000119,place_00107,Hotel Santo Djaya,hotel,1.0,It's better to sleep on the road side,negative,negative,medium,,A01,yes
resto-hotel-v2_000127,place_00107,Hotel Santo Djaya,hotel,2.0,B aja.. Cm cocok utk tidur aja...,negative,negative,high,,A01,yes
resto-hotel-v2_000153,place_00095,Grand Mareda Hotel,hotel,1.0,🐗🐗🐗🐗🐗🐗,negative,neutral,low,insufficient_context,A01,yes
resto-hotel-v2_000189,place_00189,Pudan Residence,hotel,1.0,Kurang2in nipu kawan,negative,negative,medium,,A01,yes
resto-hotel-v2_000257,place_00199,RAP Hotel Balige,hotel,2.0,Terlalu banyak aturan,negative,negative,medium,,A01,yes
resto-hotel-v2_000269,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,1.0,Pelayanan buruk,negative,negative,high,,A01,yes
resto-hotel-v2_000430,place_00254,SAPADIA VILLA BALIGE II,hotel,1.0,Lama kali pesanan kelen,negative,negative,high,,A01,yes
resto-hotel-v2_000578,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,1.0,Rasa gak enak dan over price,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_001182,place_00153,OYO 90645 Karisma Residence,hotel,1.0,Ga sesuai expetasi,negative,negative,medium,,A01,yes
resto-hotel-v2_001183,place_00153,OYO 90645 Karisma Residence,hotel,1.0,Pelayanan sangat burukk😡😡😡,negative,negative,medium,,A01,yes
resto-hotel-v2_001368,place_00098,"""Happy"" Noodle Restaurant",restoran,2.0,Kurang sip,negative,negative,high,,A01,yes
resto-hotel-v2_001420,place_00195,Purnama Balige Hotel,hotel,1.0,Pelayanan Resepsionis kurang baik,negative,negative,high,,A01,yes
resto-hotel-v2_001519,place_00195,Purnama Balige Hotel,hotel,2.0,Nah..... not recommended at all....,negative,negative,high,,A01,yes
resto-hotel-v2_001587,place_00182,Point Coffee Balige,restoran,1.0,Not recommended,negative,negative,high,,A01,yes
resto-hotel-v2_001612,place_00264,SIPPIN,restoran,1.0,"Pelayanan buruk, dan pelayan nya cuek",negative,negative,high,,A01,yes
resto-hotel-v2_001613,place_00264,SIPPIN,restoran,1.0,pelayanan buruk,negative,negative,high,,A01,yes
resto-hotel-v2_001614,place_00264,SIPPIN,restoran,1.0,"Gaboleh request lagu, tidak ramah",negative,negative,high,,A01,yes
resto-hotel-v2_001652,place_00279,TASYA HOMESTAY,hotel,1.0,Ga jelas,negative,negative,medium,,A01,yes
resto-hotel-v2_001698,place_00105,Hotel Nabasa,hotel,1.0,Tidak ada yang bisa dipuji,negative,negative,high,,A01,yes
resto-hotel-v2_001856,place_00147,Mutiara Balige Hotel,hotel,2.0,Baik,negative,positive,high,,A01,yes
resto-hotel-v2_001948,place_00104,Hotel Dizomn,hotel,1.0,"Jorok kmar n kmar mndi nya,",negative,negative,high,,A01,yes
resto-hotel-v2_001977,place_00314,wisma LAKSAMANA,hotel,1.0,Hotel esek2. Wkwkwk..,negative,negative,medium,,A01,yes
resto-hotel-v2_001991,place_00187,Pondok Siliwangi 31,hotel,2.0,"Ngak ada parkiran,,🙈 ...",negative,negative,medium,,A01,yes
resto-hotel-v2_002365,place_00289,Toba Village inn,hotel,1.0,"Pelayan nya ga ramah, chef sombong",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_002863,place_00072,Carolina Hotel,hotel,1.0,Tidak rekomendasi,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_002975,place_00072,Carolina Hotel,hotel,1.0,Cukup untuk terkhir,negative,negative,medium,,A01,yes
resto-hotel-v2_003033,place_00072,Carolina Hotel,hotel,1.0,Kurang bersih,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_003086,place_00072,Carolina Hotel,hotel,1.0,Tempat istirahat yg sangat recomended kan,negative,positive,high,,A01,yes
resto-hotel-v2_003094,place_00072,Carolina Hotel,hotel,1.0,Pelayanan kurang memuaskan!!!,negative,negative,high,,A01,yes
resto-hotel-v2_003286,place_00286,Thyesza Hotel Resort,hotel,1.0,No hp yang bisa di hubungi berapa ya,negative,neutral,high,insufficient_context,A01,yes
resto-hotel-v2_003349,place_00286,Thyesza Hotel Resort,hotel,2.0,"arogan, gak beres",negative,negative,medium,,A01,yes
resto-hotel-v2_003477,place_00025,Amora Cafe,restoran,1.0,Harusnya ditutup sering ada keributan,negative,negative,medium,,A01,yes
resto-hotel-v2_003499,place_00240,Rumah Makan Panca,restoran,2.0,Biasa,negative,neutral,medium,,A01,yes
resto-hotel-v2_003507,place_00240,Rumah Makan Panca,restoran,2.0,View danau Toba nya indah,negative,positive,high,,A01,yes
resto-hotel-v2_003610,place_00034,Bakso Pak Radit (Bakso Khas Malang),restoran,1.0,Jorok,negative,negative,high,,A01,yes
resto-hotel-v2_003614,place_00109,Hutanta Cafe,restoran,1.0,Payah bilang lah,negative,negative,medium,,A01,yes
resto-hotel-v2_003683,place_00283,Tepi Danau Bistro,restoran,1.0,Kasir lambat & bad attitude,negative,negative,high,,A01,yes
resto-hotel-v2_003715,place_00283,Tepi Danau Bistro,restoran,1.0,Tolong pelayan kalian itu buruk banget,negative,negative,high,,A01,yes
resto-hotel-v2_003719,place_00283,Tepi Danau Bistro,restoran,2.0,40 menit untuk 1 cup cappucino?,negative,negative,medium,,A01,yes
resto-hotel-v2_003753,place_00283,Tepi Danau Bistro,restoran,1.0,Makanan lama datengnya,negative,negative,high,,A01,yes
resto-hotel-v2_003793,place_00283,Tepi Danau Bistro,restoran,1.0,"Pesanan makanan datangnya lama,",negative,negative,high,,A01,yes
resto-hotel-v2_003818,place_00283,Tepi Danau Bistro,restoran,1.0,Sangat buruk.,negative,negative,high,,A01,yes
resto-hotel-v2_003867,place_00283,Tepi Danau Bistro,restoran,2.0,Asin bangetttt mknannya,negative,negative,high,,A01,yes
resto-hotel-v2_003885,place_00219,Rujak Agam Balige,restoran,2.0,Relatif mahal sih,negative,negative,high,,A01,yes
resto-hotel-v2_004062,place_00122,Kedai Bakmi Bahagia,restoran,1.0,Lokasi bagus,negative,positive,high,,A01,yes
resto-hotel-v2_004104,place_00329,Kedai Bakmi Bahagia Sukaria,hotel_resto,2.0,Penetapan harga yang buruk,negative,negative,high,,A01,yes
resto-hotel-v2_004119,place_00235,Rumah Makan Martabe,restoran,1.0,Makanan cukup enak Pelayanan kurang,negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_004286,place_00073,Chinese Food Gemar,restoran,2.0,"Kirain membangongkan,rupanya mengharukan",negative,positive,high,,A01,yes
resto-hotel-v2_004354,place_00285,The Deck Balige Restaurant Lounge,restoran,1.0,PELAYANAN BURUK LAMA PISANG GORENG DINGIN,negative,negative,high,,A01,yes
resto-hotel-v2_004368,place_00285,The Deck Balige Restaurant Lounge,restoran,1.0,Pelayanan lambat,negative,negative,high,,A01,yes
resto-hotel-v2_004426,place_00046,Betty Bites- Balige,restoran,1.0,"Pelayanan lama, dan jorok",negative,negative,high,,A01,yes
resto-hotel-v2_004924,place_00078,Damasus Nataboan Resto,restoran,1.0,Pelayanannya lambat,negative,negative,high,,A01,yes
resto-hotel-v2_005282,place_00116,Jenny'S Restaurant,restoran,1.0,Terlalu mahal dan kualitasnya buruk,negative,negative,high,,A01,yes
resto-hotel-v2_005454,place_00047,Biwa Cafe 26 Resto,restoran,1.0,6 lagu mask enak ni gk ad yg pas,negative,negative,high,,A01,yes
resto-hotel-v2_005484,place_00047,Biwa Cafe 26 Resto,restoran,1.0,"Pesanan lama 1,5 jam belum datang",negative,negative,high,,A01,yes
resto-hotel-v2_005503,place_00047,Biwa Cafe 26 Resto,restoran,1.0,very bad services,negative,negative,high,,A01,yes
resto-hotel-v2_005706,place_00265,Solu Bolon Cafe And Resto,restoran,1.0,pelayanan buruk,negative,negative,high,,A01,yes
resto-hotel-v2_005874,place_00233,Rumah Makan Lomak,restoran,1.0,Super mahal. Parsahalian,negative,negative,high,,A01,yes
resto-hotel-v2_005935,place_00197,Putra Kembar Coffee Shop 26 Resto,restoran,1.0,Pelayan pelayan nya jutek sangat,negative,negative,high,,A01,yes
resto-hotel-v2_005960,place_00197,Putra Kembar Coffee Shop 26 Resto,restoran,1.0,Waitersnya jutek,negative,negative,high,,A01,yes
resto-hotel-v2_006036,place_00197,Putra Kembar Coffee Shop 26 Resto,restoran,1.0,Karyawan nya ada bego begonya,negative,negative,medium,,A01,yes
resto-hotel-v2_006113,place_00197,Putra Kembar Coffee Shop 26 Resto,restoran,1.0,Pelayannya emosian tidak ramah,negative,negative,high,,A01,yes
resto-hotel-v2_006158,place_00256,Sekapur Sirih,restoran,1.0,Over price & Pelayanan Buruk,negative,negative,high,,A01,yes
resto-hotel-v2_006177,place_00256,Sekapur Sirih,restoran,2.0,Benar-benar terlalu mahal untuk apa pun.,negative,negative,high,,A01,yes
resto-hotel-v2_006191,place_00256,Sekapur Sirih,restoran,2.0,Small portions but decent,negative,negative,medium,,A01,yes
resto-hotel-v2_006221,place_00256,Sekapur Sirih,restoran,1.0,"belum sempat makan,, dah kena usir 🤣 ...",negative,negative,medium,,A01,yes
resto-hotel-v2_006240,place_00126,La Pinus Damasus Bistro 26 Resto,restoran,1.0,Saat sampai di tempat tutup,negative,negative,medium,,A01,yes
resto-hotel-v2_006274,place_00126,La Pinus Damasus Bistro 26 Resto,restoran,1.0,Pelayanan sangat buruk,negative,negative,high,,A01,yes
resto-hotel-v2_006293,place_00126,La Pinus Damasus Bistro 26 Resto,restoran,1.0,Nggak ramah dan nggak enak,negative,negative,high,,A01,yes
