clause_id,review_id,canonical_place_id,place_name,place_category,clause_index,clause_text,weak_aspects,manual_aspects,annotator_id,human_approved,annotation_notes
resto-hotel-v2_000559::c001,resto-hotel-v2_000559,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,1,"byk tempat duduk, pelayanan ramahh, tempatnya bersih",fasilitas_umum|kebersihan|pelayanan,kebersihan|pelayanan|fasilitas_umum,A01,yes,
resto-hotel-v2_000560::c000,resto-hotel-v2_000560,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,0,Hotel yg cukup nyaman buat mencari ketenangan,akomodasi,akomodasi,A01,yes,
resto-hotel-v2_000587::c015,resto-hotel-v2_000587,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,15,membuat betah berlama2 di kamar!,akomodasi,akomodasi,A01,yes,
resto-hotel-v2_000594::c000,resto-hotel-v2_000594,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,0,Cozy hotel with amazing view by the lake of Danau Toba,akomodasi|pemandangan,akomodasi|pemandangan,A01,yes,
resto-hotel-v2_000677::c001,resto-hotel-v2_000677,place_00296,Vany Villa Balige,hotel,1,"Kamar nya bersih dan nyaman, kolam nya juga bersih dan bisa utk anak anak",akomodasi|kebersihan,kebersihan|akomodasi|fasilitas_umum|aksesibilitas,A01,yes,
resto-hotel-v2_000681::c005,resto-hotel-v2_000681,place_00296,Vany Villa Balige,hotel,5,Lantai kamar mandi juga licin,akomodasi|keamanan|toilet,toilet|akomodasi|keamanan,A01,yes,
resto-hotel-v2_000682::c000,resto-hotel-v2_000682,place_00296,Vany Villa Balige,hotel,0,"makananya kurang enak, dan pelayananya tidak ramah padahal harganya tinggi diluar ekspetasi saya",pelayanan,harga|pelayanan|makanan,A01,yes,Harganya tinggi = harga
resto-hotel-v2_000686::c003,resto-hotel-v2_000686,place_00296,Vany Villa Balige,hotel,3,TV dan internet berfungsi dgn baik,lainnya,internet_sinyal,A01,yes,
resto-hotel-v2_000686::c009,resto-hotel-v2_000686,place_00296,Vany Villa Balige,hotel,9,"Kalau tamu >70% dri kapasitas maka menu prasmanan, kalau tidak maka menu ala carte",harga|keramaian|makanan,makanan,A01,yes,
resto-hotel-v2_000688::c002,resto-hotel-v2_000688,place_00296,Vany Villa Balige,hotel,2,Kebetulan di rumah opung tidak ada sinyal,internet_sinyal,internet_sinyal,A01,yes,
resto-hotel-v2_000692::c000,resto-hotel-v2_000692,place_00296,Vany Villa Balige,hotel,0,"Bagus........, hanya lokasi parkir kurang, mungkin sedikit agak mahal",akses_jalan|harga|parkir,parkir|harga,A01,yes,
resto-hotel-v2_000695::c000,resto-hotel-v2_000695,place_00296,Vany Villa Balige,hotel,0,"The room was nice, clean and very comfortable",akomodasi|kebersihan,kebersihan|akomodasi,A01,yes,
resto-hotel-v2_000712::c001,resto-hotel-v2_000712,place_00296,Vany Villa Balige,hotel,1,"Fasilitas lengkap, dan makanannya enak banget",fasilitas_umum,makanan|fasilitas_umum,A01,yes,
resto-hotel-v2_000722::c000,resto-hotel-v2_000722,place_00296,Vany Villa Balige,hotel,0,Villa dengan nuansa clasik dan identik dgn budaya bataknya Keren mantap rekomendasi untuk ajak keluarga berlibur disini,budaya|pemandangan,pelayanan|akomodasi|aksesibilitas|budaya,A01,yes,
resto-hotel-v2_000729::c000,resto-hotel-v2_000729,place_00296,Vany Villa Balige,hotel,0,Inilah yang namanya reinventing budaya lokal sesungguhnya,budaya,budaya,A01,yes,
resto-hotel-v2_000729::c002,resto-hotel-v2_000729,place_00296,Vany Villa Balige,hotel,2,Tempat indah dengan budaya Lokal,budaya,pemandangan|budaya,A01,yes,
resto-hotel-v2_000751::c000,resto-hotel-v2_000751,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,0,Kami sudah 3 kali menginap di sini dan sangat memuaskan layanannya,lainnya,pelayanan,A01,yes,"Pujian pelayanan, bukan akomodasi"
resto-hotel-v2_000788::c003,resto-hotel-v2_000788,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,3,Akhirnya dibantu dikirim via ekspedisi ke Jakarta Mantap pokoknya,lainnya,none,A01,yes,
resto-hotel-v2_000806::c003,resto-hotel-v2_000806,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,3,One thing that could be improved is the addition of a fitness facility,lainnya,fasilitas_umum,A01,yes,
resto-hotel-v2_000834::c002,resto-hotel-v2_000834,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,2,A lot of breakfast menu and have any other meal packages 3,lainnya,makanan,A01,yes,
resto-hotel-v2_000834::c003,resto-hotel-v2_000834,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,3,"The view of toba lake its good 4.The room is clean and comfortable,some rooms have a balcony",akomodasi|kebersihan|pemandangan,kebersihan|akomodasi|pemandangan,A01,yes,
resto-hotel-v2_000843::c000,resto-hotel-v2_000843,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,0,Aman bersih dan rapi,keamanan|kebersihan,kebersihan|keamanan,A01,yes,
resto-hotel-v2_000853::c000,resto-hotel-v2_000853,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,0,Ballroom bagus dan bersih,kebersihan,kebersihan,A01,yes,
resto-hotel-v2_000903::c000,resto-hotel-v2_000903,place_00127,"Labersa Hotel and Convention Center Toba, Balige",hotel,0,Acara kantor di ballroomnya,lainnya,fasilitas_umum,A01,yes,Ballroom = fasilitas
resto-hotel-v2_000953::c002,resto-hotel-v2_000953,place_00129,Lago Hotel & Resto,hotel,2,Pemilik hotel marga Simanjuntak membantu menelepon rekannya yg punya mobil tsb,akomodasi|pelayanan,parkir|pelayanan|akomodasi,A01,yes,
resto-hotel-v2_000957::c000,resto-hotel-v2_000957,place_00129,Lago Hotel & Resto,hotel,0,"Hotel yang bersih , nyaman dan memiliki spot pantai yang bagus di seberang hotel nya 👍",akomodasi|kebersihan,pelayanan|akomodasi,A01,yes,"Membantu panggil pemilik mobil = pelayanan, bukan parkir"
resto-hotel-v2_001005::c001,resto-hotel-v2_001005,place_00129,Lago Hotel & Resto,hotel,1,Free wifi dan breakfast variatif,internet_sinyal,harga|makanan|internet_sinyal,A01,yes,
resto-hotel-v2_001027::c000,resto-hotel-v2_001027,place_00129,Lago Hotel & Resto,hotel,0,"Hotel paling mantap di balige, ruangan, pelayanannya, sarapan gratisnya, pasti nginap disini lagi kalok ke balige, ke pantai bul bul 2 menit, ke pakkodian 30 menit",akomodasi,akomodasi|pemandangan,A01,yes,
resto-hotel-v2_001037::c001,resto-hotel-v2_001037,place_00129,Lago Hotel & Resto,hotel,1,"Dengan harga yg relatif kompetitif dengan hotel lainnya di sekitaran Balige, udah dapat kamar dan lokasi yang bagus",akomodasi|harga,pelayanan|makanan|akomodasi,A01,yes,"Kamar, pelayanan, sarapan; bukan pemandangan"
resto-hotel-v2_001044::c000,resto-hotel-v2_001044,place_00129,Lago Hotel & Resto,hotel,0,"Resepsionisnya ramah, tempat parkir lumayan banyak, makanan enak, pemandangan cantik",makanan|parkir|pelayanan|pemandangan,parkir|pelayanan|makanan|pemandangan,A01,yes,
resto-hotel-v2_001047::c000,resto-hotel-v2_001047,place_00129,Lago Hotel & Resto,hotel,0,"Ga rekomen buat yg dtg dlm kondisi laper, krna pesanannya lama bgt datangnya, lebih sejam buat nunggu doang, tpi lokasi dan view nya ok",pemandangan,pelayanan|pemandangan,A01,yes,
resto-hotel-v2_001114::c001,resto-hotel-v2_001114,place_00129,Lago Hotel & Resto,hotel,1,"Kamar bersih, wangi",akomodasi|kebersihan,kebersihan|akomodasi,A01,yes,
resto-hotel-v2_001115::c000,resto-hotel-v2_001115,place_00129,Lago Hotel & Resto,hotel,0,"Bersih, parkir kiss, makanan ok",kebersihan|makanan|parkir,parkir|kebersihan|makanan,A01,yes,
resto-hotel-v2_001123::c001,resto-hotel-v2_001123,place_00129,Lago Hotel & Resto,hotel,1,Keren,pemandangan,none,A01,yes,
resto-hotel-v2_001125::c000,resto-hotel-v2_001125,place_00129,Lago Hotel & Resto,hotel,0,Kelebihan Kamar family gede pelayanan ramah Kamar bersih View persawahan nya indah Kekurangan Sayang gk ada lift dan family room hanya di lantai 2 jadi buat lansia agak susah Toilet di lantai 1 gk ada toilet duduk jadi agak susah buat lansia,akomodasi|harga|kebersihan|pelayanan|pemandangan|toilet,kebersihan|toilet|pelayanan|akomodasi|pemandangan|aksesibilitas,A01,yes,Lansia = aksesibilitas; tidak ada harga
resto-hotel-v2_001133::c000,resto-hotel-v2_001133,place_00129,Lago Hotel & Resto,hotel,0,Hotel termegah di Pantai Bulbul Balige,akomodasi,akomodasi|pemandangan,A01,yes,
resto-hotel-v2_001138::c002,resto-hotel-v2_001138,place_00306,Warunk Friendzone,restoran,2,"Harga murah meriah, tempat bersih dan wifi kencang",harga|internet_sinyal|kebersihan,kebersihan|harga|internet_sinyal,A01,yes,
resto-hotel-v2_001180::c003,resto-hotel-v2_001180,place_00153,OYO 90645 Karisma Residence,hotel,3,Air nya kecil banget dan sering mati,lainnya,akomodasi,A01,yes,Air mati = masalah fasilitas kamar/akomodasi
resto-hotel-v2_001182::c000,resto-hotel-v2_001182,place_00153,OYO 90645 Karisma Residence,hotel,0,Ga sesuai expetasi,lainnya,none,A01,yes,
resto-hotel-v2_001187::c000,resto-hotel-v2_001187,place_00153,OYO 90645 Karisma Residence,hotel,0,"Kamar sempit dan bau, airnyaa bermasalah kurangtau jg alasannya apaa",akomodasi|harga|kebersihan,kebersihan|toilet|akomodasi,A01,yes,Kebersihan kamar + kamar mandi = akomodasi + toilet + kebersihan
resto-hotel-v2_001196::c000,resto-hotel-v2_001196,place_00153,OYO 90645 Karisma Residence,hotel,0,Kamar terlalu sempit dan kurang bersih dan air kalau malam terbatas,akomodasi|harga|kebersihan,kebersihan|akomodasi|fasilitas_umum,A01,yes,Kamar sempit/bau + masalah air = akomodasi + kebersihan + fasilitas
resto-hotel-v2_001212::c000,resto-hotel-v2_001212,place_00153,OYO 90645 Karisma Residence,hotel,0,Letaknya strategis,lainnya,none,A01,yes,
resto-hotel-v2_001214::c002,resto-hotel-v2_001214,place_00153,OYO 90645 Karisma Residence,hotel,2,"The room is clean, and smells gòod",akomodasi|kebersihan,kebersihan|akomodasi,A01,yes,
resto-hotel-v2_001214::c005,resto-hotel-v2_001214,place_00153,OYO 90645 Karisma Residence,hotel,5,"And no condiments like shampoo, toilet paper, toothbrush, toothpaste, and stuff u usually find in hotels",toilet,toilet|akomodasi,A01,yes,Amenity hotel = akomodasi
resto-hotel-v2_001220::c000,resto-hotel-v2_001220,place_00108,Hotel Sere Nauli,hotel,0,"Ada tikus di kamar 216, di samping Ac ada lubang tikus tempat keluar masuk tikus",akomodasi,harga|makanan|fasilitas_umum,A01,yes,"Anak tidak bisa mandi = fasilitas, bukan aksesibilitas"
resto-hotel-v2_001222::c002,resto-hotel-v2_001222,place_00108,Hotel Sere Nauli,hotel,2,penuh dengan kerak air putih,keramaian,keramaian,A01,yes,
resto-hotel-v2_001245::c004,resto-hotel-v2_001245,place_00108,Hotel Sere Nauli,hotel,4,Ada wifi tp sinyal jg busuk,internet_sinyal,internet_sinyal,A01,yes,
resto-hotel-v2_001245::c010,resto-hotel-v2_001245,place_00108,Hotel Sere Nauli,hotel,10,"Untuk variasi makanan hanya ada 5-6menu (sudah trmasuk nasi putih) Dibandingin sm hotel dijakarta, lebih murah hotel dijakarta sih dengan fasilitas dan menu sarapan yg lebih banyak varian",akomodasi|harga|makanan,kebersihan|akomodasi,A01,yes,"Tikus di kamar = kebersihan/higienitas, bukan keamanan"
resto-hotel-v2_001256::c000,resto-hotel-v2_001256,place_00108,Hotel Sere Nauli,hotel,0,"Hotel asri dan nyaman Fasilitas lengkap, kamar luas parkir luas Lokasi strategis Recommended wilayah parapat balige",akomodasi|fasilitas_umum|parkir,parkir|akomodasi|fasilitas_umum|pemandangan,A01,yes,
resto-hotel-v2_001258::c003,resto-hotel-v2_001258,place_00108,Hotel Sere Nauli,hotel,3,"Tidak ada WiFi di kamar saya, dan WiFi di resepsionis sangat lambat sehingga saya tidak menggunakannya",akomodasi|harga|internet_sinyal|pelayanan,pelayanan|akomodasi|internet_sinyal,A01,yes,
resto-hotel-v2_001261::c000,resto-hotel-v2_001261,place_00108,Hotel Sere Nauli,hotel,0,"Saran bagi pemilik hotel agar meng ""hire"" SDM di bidangnya sehingga hotel dapat di manage dgn bagus",akomodasi,pelayanan|akomodasi,A01,yes,
resto-hotel-v2_001301::c000,resto-hotel-v2_001301,place_00108,Hotel Sere Nauli,hotel,0,Hotel yg keren,akomodasi|pemandangan,akomodasi,A01,yes,
resto-hotel-v2_001311::c002,resto-hotel-v2_001311,place_00108,Hotel Sere Nauli,hotel,2,Agar tamu selalu bisa merasa aman dan nyaman,keamanan,keamanan,A01,yes,
resto-hotel-v2_001373::c000,resto-hotel-v2_001373,place_00098,"""Happy"" Noodle Restaurant",restoran,0,Mantap,lainnya,none,A01,yes,
resto-hotel-v2_001381::c000,resto-hotel-v2_001381,place_00195,Purnama Balige Hotel,hotel,0,Nyaman dan bersih,kebersihan,kebersihan,A01,yes,
resto-hotel-v2_001382::c003,resto-hotel-v2_001382,place_00195,Purnama Balige Hotel,hotel,3,"Harga kamar terlalu mahal untuk fasilitas yang sangat standar, bahkan cenderung di bawah ekspektasi",akomodasi|harga,harga|akomodasi|fasilitas_umum,A01,yes,
resto-hotel-v2_001405::c000,resto-hotel-v2_001405,place_00195,Purnama Balige Hotel,hotel,0,"sangat suka menginap di Hotel Purnama Balige Sangat bersih,Nyaman,dan pelayanannya sangat ramah, Kebetulan ada juga Free Speatboadnya bikin gagal move on dari Hotel ini",akomodasi|kebersihan|pelayanan,kebersihan|harga|pelayanan|akomodasi,A01,yes,
resto-hotel-v2_001409::c000,resto-hotel-v2_001409,place_00195,Purnama Balige Hotel,hotel,0,We booked this hotel after seeing a travel influencer’s YouTube video,akomodasi|transportasi,akomodasi,A01,yes,'travel influencer' bukan transportasi
resto-hotel-v2_001424::c001,resto-hotel-v2_001424,place_00195,Purnama Balige Hotel,hotel,1,"dikasi terpisah padahal sudah deal untuk 1 lantai Restaurant nya sangat buruk service nya, makannya sangat lama sudah lebih dari 1",makanan|pelayanan,pelayanan|makanan,A01,yes,
resto-hotel-v2_001436::c002,resto-hotel-v2_001436,place_00195,Purnama Balige Hotel,hotel,2,The food and lake view was decent,makanan|pemandangan,makanan|pemandangan,A01,yes,
resto-hotel-v2_001441::c000,resto-hotel-v2_001441,place_00195,Purnama Balige Hotel,hotel,0,The hotel ambience of guest areas facilities were tidy and clean,akomodasi|kebersihan,harga|makanan,A01,yes,Makanan murah = makanan + harga
resto-hotel-v2_001446::c000,resto-hotel-v2_001446,place_00195,Purnama Balige Hotel,hotel,0,Strategic HotelDelicious breakfast Affordable price Clean hotelComfortable hotel,akomodasi|harga|kebersihan,kebersihan|harga|makanan|akomodasi,A01,yes,
resto-hotel-v2_001448::c001,resto-hotel-v2_001448,place_00195,Purnama Balige Hotel,hotel,1,"Very disappointed with the room it was wet toilet wet room, very tiny room, small television",akomodasi|toilet,kebersihan|toilet|akomodasi,A01,yes,Wet = kebersihan
resto-hotel-v2_001489::c000,resto-hotel-v2_001489,place_00195,Purnama Balige Hotel,hotel,0,"Di seprainya masih ada rambut, exhaust kamar mandi mati",akomodasi|toilet,kebersihan|toilet|akomodasi,A01,yes,Rambut di seprai = kebersihan
resto-hotel-v2_001518::c002,resto-hotel-v2_001518,place_00195,Purnama Balige Hotel,hotel,2,"area hotel sangat nyaman dan krn dekat dgn pelabuhan, jadi bisa lihat kapal-kapal",akomodasi|transportasi,transportasi|akomodasi|pemandangan,A01,yes,Lihat kapal = pemandangan
resto-hotel-v2_001528::c000,resto-hotel-v2_001528,place_00195,Purnama Balige Hotel,hotel,0,"Room over price, breakfast standard, Lainnya dapat direkomendasikan",akomodasi|harga,harga|pelayanan|makanan|akomodasi,A01,yes,
resto-hotel-v2_001561::c000,resto-hotel-v2_001561,place_00110,ijabu Coffee & Roastery,restoran,0,"Suasana serasa di rumah sendiri, pelayanan nya cepat,ramah dan asik",pelayanan,pelayanan,A01,yes,
